"j","n","method","ISE","time_seconds"
4,200,"WK",7.73786884485727e-12,20.9332890510559
4,200,"LG",0.000176524779503022,491.742012023926
5,100,"WK",0.000312908212786778,9.215083360672
5,100,"LG",0.0106582562581376,158.116410732269
5,200,"WK",0.000389282676402477,21.0052237510681
5,200,"LG",0.00526519921950712,486.636136054993
6,100,"WK",0.000915932705727695,8.96455430984497
6,100,"LG",0.123807956341706,376.310088396072
6,200,"WK",0.0302704010716473,30.5651807785034
6,200,"LG",0.0836587689502271,773.157210826874
1,100,"WK",0.000677369421708157,61.0706353187561
1,100,"LG",0.00114214989758363,921.180061340332
1,200,"WK",0.000233152614252781,27.9618077278137
1,200,"LG",0.000590878229773218,1500.13223218918
2,100,"WK",0.00170809765656428,62.8564457893372
2,100,"LG",0.00115933951999055,158.881639480591
2,200,"WK",0.000147586754289925,21.0300629138947
2,200,"LG",0.00167799725150909,1187.52880978584
3,100,"WK",7.62489853963487e-06,18.7976217269897
3,100,"LG",1.14053229922952e-09,57.7144186496735
3,200,"WK",0.00818673801157044,183.991688728333
3,200,"LG",0.00210732328299347,2904.86434912682
4,100,"WK",7.67264538815498e-12,9.60269236564636
4,100,"LG",0.0118000067098893,308.949636936188
4,200,"WK",7.73864245084504e-12,21.9288103580475
4,200,"LG",0.335712301448845,791.303721189499
5,100,"WK",0.00866740735137572,15.6559112071991
5,100,"LG",0.0073705055383411,156.652063131332
5,200,"WK",0.0228403481429521,43.6077892780304
5,200,"LG",0.000111303667198561,185.418826341629
6,100,"WK",0.000254469704461605,9.45450091362
6,100,"LG",0.0777939639177961,475.128810882568
6,200,"WK",0.0326933454065347,31.3374330997467
6,200,"LG",0.104758413025689,776.123873710632
1,100,"WK",0.000920204689025587,56.0322382450104
1,100,"LG",0.000676699097427968,444.235929489136
1,200,"WK",0.000854831320070142,357.389379262924
1,200,"LG",0.00081472206358039,954.935138940811
2,100,"WK",0.00182875619563657,58.1494147777557
2,100,"LG",0.00191762641674955,944.577910423279
2,200,"WK",0.00163500158753208,78.4338281154633
2,200,"LG",0.00123696741719757,1598.01647043228
3,100,"WK",0.0137395454351217,42.5556344985962
3,100,"LG",1.58715402025357e-09,57.3885219097137
3,200,"WK",0.00362278778568532,238.152623414993
3,200,"LG",2.51178857948621e-07,298.788803815842
4,100,"WK",7.73864245110654e-12,9.77148771286011
4,100,"LG",0.00272855839755296,260.032825469971
4,200,"WK",7.73864245110294e-12,21.2535638809204
4,200,"LG",0.00292189991410703,592.7635242939
5,100,"WK",0.000407363437588316,9.02417683601379
5,100,"LG",0.0071412377154082,157.734018802643
5,200,"WK",0.000118625302141045,21.0983695983887
5,200,"LG",7.9984668958642e-05,182.394713401794
6,100,"WK",0.153412014119986,28.322851896286
6,100,"LG",0.151446850958547,358.859364271164
6,200,"WK",0.0771851162676093,118.148104906082
6,200,"LG",0.106495261163295,782.22225189209
1,100,"WK",0.000546367150748232,33.9691870212555
1,100,"LG",0.00157433951457592,135.267598867416
1,200,"WK",0.000745924362786987,206.595157623291
1,200,"LG",0.00105092499128508,838.997899055481
2,100,"WK",0.00192304697359872,110.524085283279
2,100,"LG",0.00104552589449728,85.1779041290283
2,200,"WK",0.00105984405663965,157.908227443695
2,200,"LG",0.00108667815443814,235.749055862427
3,100,"WK",0.0051569098229419,24.4285209178925
3,100,"LG",0.000798820833649745,1611.07882618904
3,200,"WK",9.85233334138617e-06,33.0742516517639
3,200,"LG",0.00129879776044915,2327.52645254135
4,100,"WK",7.30260711196734e-12,9.41112065315247
4,100,"LG",0.000494349626249396,208.195772647858
4,200,"WK",6.06804974061493e-12,22.4152405261993
4,200,"LG",0.655657040844391,1706.35608243942
5,100,"WK",0.000359218790281698,9.20597219467163
5,100,"LG",0.00747949713643875,157.804707050323
5,200,"WK",0.00116957262992752,31.5224902629852
5,200,"LG",0.00707233367253272,384.097653150558
6,100,"WK",0.340255598421023,26.0325248241425
6,100,"LG",0.090375221015285,625.022579908371
6,200,"WK",0.0929197504187676,111.595578193665
6,200,"LG",0.103083841972109,781.207286596298
1,100,"WK",0.000187273757662479,10.9740326404572
1,100,"LG",0.000980727424247229,752.913609743118
1,200,"WK",0.000137223736522646,25.8973760604858
1,200,"LG",0.00145102080372213,1775.30000591278
2,100,"WK",0.00246191010628376,62.6483943462372
2,100,"LG",0.00162924357312186,818.741564035416
2,200,"WK",0.00071177814859191,115.188677072525
2,200,"LG",0.00147478807657859,2315.15769791603
3,100,"WK",0.00130770805380054,21.9725880622864
3,100,"LG",0.00075329846162835,521.934095859528
3,200,"WK",0.00203972010259823,130.265586137772
3,200,"LG",0.00113246347524056,1690.99075460434
4,100,"WK",7.73864245104732e-12,9.29076242446899
4,100,"LG",1.40317188362762e-08,111.056687355042
4,200,"WK",7.73864165810427e-12,22.1980559825897
4,200,"LG",0.0843514267319425,905.593237161636
5,100,"WK",0.000477299831185563,9.49112701416016
5,100,"LG",6.97946626109553e-05,56.6991708278656
5,200,"WK",0.000325653034567819,21.7523756027222
5,200,"LG",0.000101171637922469,188.618817329407
6,100,"WK",0.0367309225686489,29.3870160579681
6,100,"LG",0.0933031071725813,354.944077253342
6,200,"WK",0.060359254302363,52.9905641078949
6,200,"LG",0.0862824764695015,733.510162830353
1,100,"WK",0.000366288936996191,10.7555384635925
1,100,"LG",0.00106390819704519,1067.31852126122
1,200,"WK",0.000671882484127777,224.193385362625
1,200,"LG",0.00115036731641056,339.861130714417
2,100,"WK",0.00103316500956718,47.5699758529663
2,100,"LG",0.00127765692197923,1282.58524155617
2,200,"WK",0.000832274623717862,201.074120521545
2,200,"LG",0.00129860337665167,1155.37900471687
3,100,"WK",0.00878214320267326,130.655584573746
3,100,"LG",9.7203850672845e-10,59.1653232574463
3,200,"WK",0.00248776871629492,55.4924383163452
3,200,"LG",0.00223805680963105,1431.58636474609
4,100,"WK",0.0147802696194269,24.8204038143158
4,100,"LG",0.706464622704879,781.897581338882
4,200,"WK",7.73864245055549e-12,21.8189291954041
4,200,"LG",0.00143810396361815,598.905029773712
5,100,"WK",0.100034062582894,26.0518853664398
5,100,"LG",0.0092972076751963,160.318840742111
5,200,"WK",0.000425451921275622,21.3266355991364
5,200,"LG",0.00933171572443074,386.884134054184
6,100,"WK",0.109894369778556,44.3360133171082
6,100,"LG",0.127777822294942,357.402064561844
6,200,"WK",0.114737094892617,55.7357423305511
6,200,"LG",0.122313640434787,785.652679204941
1,100,"WK",0.00094288192845394,49.6243417263031
1,100,"LG",0.0011790716083062,785.428728103638
1,200,"WK",0.000224098850574097,26.0152506828308
1,200,"LG",0.000784180452789024,1000.62591123581
2,100,"WK",0.00111224619005996,165.408792257309
2,100,"LG",0.00248100143210677,1881.17149853706
2,200,"WK",0.00107591926553212,100.105860233307
2,200,"LG",0.00141232781287358,1464.02141547203
3,100,"WK",0.00899609665956071,53.2897837162018
3,100,"LG",1.66258819477802e-09,59.0368683338165
3,200,"WK",0.00857126257007028,55.7296087741852
3,200,"LG",7.55027330454484e-10,194.381727933884
4,100,"WK",7.11903755229586e-12,10.0836710929871
4,100,"LG",0.000324439680837898,214.787097454071
4,200,"WK",7.73864241590239e-12,22.0527453422546
4,200,"LG",0.403129003621413,1264.48187088966
5,100,"WK",0.000530977780280161,9.46453166007996
5,100,"LG",0.000148419561046788,56.6295568943024
5,200,"WK",0.000415498934577394,21.8672976493835
5,200,"LG",0.00845267267933701,392.202005386353
6,100,"WK",0.0592279908865974,28.8742904663086
6,100,"LG",0.00016244322763469,59.3622236251831
6,200,"WK",0.0516561639082184,79.0898656845093
6,200,"LG",0.000122719486727388,187.254869222641
1,100,"WK",0.000260379288455972,10.6253259181976
1,100,"LG",0.00108687672179922,138.542507648468
1,200,"WK",0.00055569704964119,256.555946111679
1,200,"LG",0.000565985236232961,598.397277116776
2,100,"WK",0.00125007276757404,177.919128417969
2,100,"LG",0.000777853545170089,951.096037626266
2,200,"WK",0.000756352702110427,28.1386482715607
2,200,"LG",0.000407745584484792,183.095371484756
3,100,"WK",1.08973930105478e-09,9.53107285499573
3,100,"LG",0.00182375625375825,731.622696399689
3,200,"WK",5.5705113057759e-06,43.4099586009979
3,200,"LG",4.59508683057118e-05,499.597784519196
4,100,"WK",7.49004615431658e-12,9.33691906929016
4,100,"LG",0.169080241237847,599.836367368698
4,200,"WK",7.56646091980831e-12,21.7659940719604
4,200,"LG",0.128056945448806,903.246856927872
5,100,"WK",0.120690226085986,27.0427596569061
5,100,"LG",8.942292421657e-05,55.5956170558929
5,200,"WK",0.410759611439134,55.170774936676
5,200,"LG",0.000104339388952556,182.17818403244
6,100,"WK",0.0602618956628484,65.1571748256683
6,100,"LG",0.0873493069518437,254.226431369781
6,200,"WK",0.0286415419785286,143.469367265701
6,200,"LG",0.000146449335284223,179.833908557892
1,100,"WK",0.000954075619257721,125.050394058228
1,100,"LG",0.000954414191674715,730.593116044998
1,200,"WK",0.000862332712133603,109.422120809555
1,200,"LG",0.000781103692395261,1074.71987652779
2,100,"WK",0.00112246282535926,51.9716711044312
2,100,"LG",0.00138596160484083,1754.70869803429
2,200,"WK",0.00192219787081435,461.295724153519
2,200,"LG",0.00126090027217215,1476.26112174988
3,100,"WK",0.0153720781604207,58.5163552761078
